compound,smiles,source_row,duplicate_name_count
Dehydrocostuslactone,C=C1CCC2C(C3C1CCC3=C)OC(=O)C2=C,498,1
Β-Ionone,CC(=O)/C=C/C1=C(C)CCCC1(C)C,692,1
Α-Ionone,CC(=O)/C=C/[C@@H]1C(=CCCC1(C)C)C,691,2
Costunolide,C/C/1=C\[C@H]2OC(=O)C(=C)[C@@H]2CC/C(=C/CC1)/C,1181,1
Taraxasterol,C=C1CC[C@]2([C@H]([C@@H]1C)[C@H]1CC[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C,621,1
Berberine Chloride,COc1c(OC)ccc2c1c[n+]1CCc3c(c1c2)cc1c(c3)OCO1.[Cl-],1097,1
Jatrorrhizine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)O)OC)OC,152,1
Hydrastine,COc1c(OC)ccc2c1C(=O)O[C@@H]2[C@@H]1N(C)CCc2c1cc1OCOc1c2,119,1
Choline,OCC[N+](C)(C)C.[OH-],582,2
Palmitine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,272,1
Berberine,COc1c(OC)ccc2c1c[n+]1CCc3c(c1c2)cc1c(c3)OCO1,1096,1
Rhamnetin,COc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,349,1
Tetrahydropalmatine,COc1cc2CCN3[C@H](c2cc1OC)Cc1c(C3)c(OC)c(cc1)OC,420,1
Coptisine,C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6,593,1
